-1.0565,const                                    
-1.1921,Last Activity_Email Bounced              
-1.1764,Lead Source_Reference                    
-1.138,Specialization_Not Specified             
-1.0199,Lead Origin_Landing Page Submission      
-0.6859,Last Activity_Olark Chat Conversation    
-0.3186,Free Copy                                
0.1944,TotalVisits                              
0.6463,Last Activity_Others                     
0.8166,Last Activity_Email Opened               
1.0574,Time Spent                               
1.2101,Lead Source_Olark Chat                   
1.9097,Last Activity_SMS Sent                   
2.6908,Current Occupation_Working Professional  
4.4017,Lead Origin_Lead Add Form                
